[INFO ] 2015-04-07 22:16:14,035 -- Training: ...sk/hou/workspace/mldata/ratings.csv, kFold: 5 [Parallel]
[DEBUG] 2015-04-07 22:16:18,035 -- Dataset: {Users, Items, Ratings} = {706, 8552, 100023}, Scale = {0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0}
[DEBUG] 2015-04-07 22:16:18,849 -- Fold [1]: training amount: 80018, test amount: 20005
[DEBUG] 2015-04-07 22:16:19,397 -- Fold [2]: training amount: 80018, test amount: 20005
[DEBUG] 2015-04-07 22:16:19,515 -- Fold [3]: training amount: 80019, test amount: 20004
[DEBUG] 2015-04-07 22:16:19,899 -- Fold [4]: training amount: 80018, test amount: 20005
[DEBUG] 2015-04-07 22:16:20,141 -- Fold [5]: training amount: 80019, test amount: 20004
[DEBUG] 2015-04-07 22:16:20,346 -- SVD++: 0.01,-1.0,0.01,0.35,0.35,18,100,true
[DEBUG] 2015-04-07 22:16:20,346 -- SVD++: 0.01,-1.0,0.01,0.35,0.35,18,100,true
[DEBUG] 2015-04-07 22:16:20,347 -- SVD++: 0.01,-1.0,0.01,0.35,0.35,18,100,true
[DEBUG] 2015-04-07 22:16:20,346 -- SVD++: 0.01,-1.0,0.01,0.35,0.35,18,100,true
[DEBUG] 2015-04-07 22:16:20,357 -- SVD++: 0.01,-1.0,0.01,0.35,0.35,18,100,true
[DEBUG] 2015-04-07 22:16:43,306 -- SVD++ fold [5] iter 1: errs = 38378.965, delta_errs = -38378.965, loss = 75917.47, delta_loss = -75917.47, learn_rate = 0.01
[DEBUG] 2015-04-07 22:24:59,617 -- SVD++ fold [2] iter 27: errs = 29358.023, delta_errs = 41.39011, loss = 29887.645, delta_loss = 27.989992, learn_rate = 0.03386355
[DEBUG] 2015-04-07 22:25:01,917 -- SVD++ fold [1] iter 27: errs = 29367.912, delta_errs = 41.757015, loss = 29929.994, delta_loss = 27.341583, learn_rate = 0.03386355
[DEBUG] 2015-04-07 22:25:08,765 -- SVD++ fold [3] iter 27: errs = 29389.154, delta_errs = 34.116093, loss = 29912.803, delta_loss = 24.488361, learn_rate = 0.03386355
[DEBUG] 2015-04-07 22:25:09,791 -- SVD++ fold [5] iter 28: errs = 29413.498, delta_errs = 41.395866, loss = 29981.879, delta_loss = 20.76165, learn_rate = 0.035556726
[DEBUG] 2015-04-07 22:25:09,975 -- SVD++ fold [4] iter 27: errs = 29397.666, delta_errs = 44.19312, loss = 29940.324, delta_loss = 28.305248, learn_rate = 0.03386355
[DEBUG] 2015-04-07 22:25:18,297 -- SVD++ fold [2] iter 28: errs = 29318.236, delta_errs = 39.786514, loss = 29865.271, delta_loss = 22.372568, learn_rate = 0.035556726
[DEBUG] 2015-04-07 22:25:21,391 -- SVD++ fold [1] iter 28: errs = 29329.123, delta_errs = 38.789837, loss = 29908.742, delta_loss = 21.252878, learn_rate = 0.035556726
[DEBUG] 2015-04-07 22:25:27,273 -- SVD++ fold [3] iter 28: errs = 29358.14, delta_errs = 31.014114, loss = 29894.473, delta_loss = 18.329163, learn_rate = 0.035556726
[DEBUG] 2015-04-07 22:25:28,258 -- SVD++ fold [5] iter 29: errs = 29373.98, delta_errs = 39.51838, loss = 29966.719, delta_loss = 15.159457, learn_rate = 0.03733456
[DEBUG] 2015-04-07 22:25:29,366 -- SVD++ fold [4] iter 28: errs = 29354.213, delta_errs = 43.452114, loss = 29917.451, delta_loss = 22.872162, learn_rate = 0.035556726
[DEBUG] 2015-04-07 22:25:36,362 -- SVD++ fold [2] iter 29: errs = 29280.385, delta_errs = 37.85283, loss = 29848.592, delta_loss = 16.681038, learn_rate = 0.03733456
[DEBUG] 2015-04-07 22:25:41,475 -- SVD++ fold [1] iter 29: errs = 29293.562, delta_errs = 35.559193, loss = 29893.645, delta_loss = 15.098045, learn_rate = 0.03733456
[DEBUG] 2015-04-07 22:25:45,195 -- SVD++ fold [5] iter 30: errs = 29337.354, delta_errs = 36.625362, loss = 29957.51, delta_loss = 9.208203, learn_rate = 0.03920129
[DEBUG] 2015-04-07 22:25:46,625 -- SVD++ fold [4] iter 29: errs = 29311.88, delta_errs = 42.331833, loss = 29900.1, delta_loss = 17.351562, learn_rate = 0.03733456
[DEBUG] 2015-04-07 22:25:46,894 -- SVD++ fold [3] iter 29: errs = 29330.453, delta_errs = 27.687267, loss = 29882.334, delta_loss = 12.138391, learn_rate = 0.03733456
[DEBUG] 2015-04-07 22:25:54,357 -- SVD++ fold [2] iter 30: errs = 29245.1, delta_errs = 35.284798, loss = 29837.822, delta_loss = 10.768032, learn_rate = 0.03920129
[DEBUG] 2015-04-07 22:26:01,552 -- SVD++ fold [1] iter 30: errs = 29261.607, delta_errs = 31.95526, loss = 29884.832, delta_loss = 8.811513, learn_rate = 0.03920129
[DEBUG] 2015-04-07 22:26:03,865 -- SVD++ fold [5] iter 31: errs = 29304.857, delta_errs = 32.49783, loss = 29954.725, delta_loss = 2.7868443, learn_rate = 0.041161355
[DEBUG] 2015-04-07 22:26:06,561 -- SVD++ fold [4] iter 30: errs = 29271.537, delta_errs = 40.34358, loss = 29888.557, delta_loss = 11.543086, learn_rate = 0.03920129
[DEBUG] 2015-04-07 22:26:08,192 -- SVD++ fold [3] iter 30: errs = 29306.482, delta_errs = 23.969807, loss = 29876.516, delta_loss = 5.819681, learn_rate = 0.03920129
[DEBUG] 2015-04-07 22:26:14,167 -- SVD++ fold [2] iter 31: errs = 29213.256, delta_errs = 31.844028, loss = 29833.309, delta_loss = 4.514524, learn_rate = 0.041161355
[DEBUG] 2015-04-07 22:26:19,671 -- SVD++ fold [1] iter 31: errs = 29233.742, delta_errs = 27.865482, loss = 29882.496, delta_loss = 2.3352273, learn_rate = 0.041161355
[DEBUG] 2015-04-07 22:26:20,881 -- SVD++ fold [5] iter 32: errs = 29277.723, delta_errs = 27.134794, loss = 29958.863, delta_loss = -4.1388483, learn_rate = 0.04321942
[DEBUG] 2015-04-07 22:26:25,922 -- SVD++ fold [4] iter 31: errs = 29234.428, delta_errs = 37.110523, loss = 29883.273, delta_loss = 5.2831583, learn_rate = 0.041161355
[DEBUG] 2015-04-07 22:26:28,080 -- SVD++ fold [3] iter 31: errs = 29286.73, delta_errs = 19.752426, loss = 29877.215, delta_loss = -0.70023346, learn_rate = 0.041161355
[DEBUG] 2015-04-07 22:26:31,345 -- SVD++ fold [2] iter 32: errs = 29185.861, delta_errs = 27.394789, loss = 29835.46, delta_loss = -2.1529174, learn_rate = 0.04321942
[DEBUG] 2015-04-07 22:26:41,020 -- SVD++ fold [1] iter 32: errs = 29210.547, delta_errs = 23.194302, loss = 29886.875, delta_loss = -4.3778014, learn_rate = 0.04321942
[DEBUG] 2015-04-07 22:26:41,564 -- SVD++ fold [5] iter 33: errs = 28786.607, delta_errs = 491.1144, loss = 29462.41, delta_loss = 496.4516, learn_rate = 0.02160971
[DEBUG] 2015-04-07 22:26:46,625 -- SVD++ fold [3] iter 32: errs = 28806.32, delta_errs = 480.40994, loss = 29390.145, delta_loss = 487.07047, learn_rate = 0.020580677
[DEBUG] 2015-04-07 22:26:47,496 -- SVD++ fold [4] iter 32: errs = 29201.953, delta_errs = 32.474403, loss = 29884.787, delta_loss = -1.5138627, learn_rate = 0.04321942
[DEBUG] 2015-04-07 22:26:50,884 -- SVD++ fold [2] iter 33: errs = 28705.545, delta_errs = 480.3158, loss = 29350.207, delta_loss = 485.25357, learn_rate = 0.02160971
[DEBUG] 2015-04-07 22:26:59,127 -- SVD++ fold [5] iter 34: errs = 28625.273, delta_errs = 161.33427, loss = 29311.254, delta_loss = 151.15802, learn_rate = 0.022690197
[DEBUG] 2015-04-07 22:27:00,328 -- SVD++ fold [1] iter 33: errs = 28732.531, delta_errs = 478.016, loss = 29400.664, delta_loss = 486.21063, learn_rate = 0.02160971
[DEBUG] 2015-04-07 22:27:04,075 -- SVD++ fold [3] iter 33: errs = 28663.12, delta_errs = 143.20119, loss = 29252.414, delta_loss = 137.73018, learn_rate = 0.02160971
[DEBUG] 2015-04-07 22:27:06,547 -- SVD++ fold [4] iter 33: errs = 28710.736, delta_errs = 491.21567, loss = 29392.932, delta_loss = 491.8554, learn_rate = 0.02160971
[DEBUG] 2015-04-07 22:27:09,252 -- SVD++ fold [2] iter 34: errs = 28541.652, delta_errs = 163.89226, loss = 29195.473, delta_loss = 154.73488, learn_rate = 0.022690197
[DEBUG] 2015-04-07 22:27:19,637 -- SVD++ fold [5] iter 35: errs = 28596.762, delta_errs = 28.511425, loss = 29296.81, delta_loss = 14.4421835, learn_rate = 0.023824707
[DEBUG] 2015-04-07 22:27:20,628 -- SVD++ fold [1] iter 34: errs = 28568.205, delta_errs = 164.32645, loss = 29244.316, delta_loss = 156.34712, learn_rate = 0.022690197
[DEBUG] 2015-04-07 22:27:23,233 -- SVD++ fold [4] iter 34: errs = 28546.889, delta_errs = 163.84813, loss = 29242.227, delta_loss = 150.7045, learn_rate = 0.022690197
[DEBUG] 2015-04-07 22:27:24,100 -- SVD++ fold [3] iter 34: errs = 28639.492, delta_errs = 23.628363, loss = 29238.092, delta_loss = 14.3231125, learn_rate = 0.022690197
[DEBUG] 2015-04-07 22:27:28,961 -- SVD++ fold [2] iter 35: errs = 28512.621, delta_errs = 29.03197, loss = 29179.79, delta_loss = 15.683524, learn_rate = 0.023824707
[DEBUG] 2015-04-07 22:27:37,533 -- SVD++ fold [5] iter 36: errs = 28582.475, delta_errs = 14.286564, loss = 29297.447, delta_loss = -0.6357976, learn_rate = 0.025015943
[DEBUG] 2015-04-07 22:27:40,768 -- SVD++ fold [1] iter 35: errs = 28540.94, delta_errs = 27.265425, loss = 29229.535, delta_loss = 14.781117, learn_rate = 0.023824707
[DEBUG] 2015-04-07 22:27:41,776 -- SVD++ fold [4] iter 35: errs = 28514.957, delta_errs = 31.932167, loss = 29226.805, delta_loss = 15.423416, learn_rate = 0.023824707
[DEBUG] 2015-04-07 22:27:43,099 -- SVD++ fold [3] iter 35: errs = 28628.283, delta_errs = 11.2087145, loss = 29237.3, delta_loss = 0.79007375, learn_rate = 0.023824707
[DEBUG] 2015-04-07 22:27:50,375 -- SVD++ fold [2] iter 36: errs = 28497.582, delta_errs = 15.037953, loss = 29179.172, delta_loss = 0.6180423, learn_rate = 0.025015943
[DEBUG] 2015-04-07 22:27:56,184 -- SVD++ fold [5] iter 37: errs = 28396.791, delta_errs = 185.68407, loss = 29100.93, delta_loss = 196.51761, learn_rate = 0.012507971
[DEBUG] 2015-04-07 22:28:01,096 -- SVD++ fold [1] iter 36: errs = 28527.676, delta_errs = 13.264535, loss = 29229.941, delta_loss = -0.405932, learn_rate = 0.025015943
[DEBUG] 2015-04-07 22:28:02,719 -- SVD++ fold [3] iter 36: errs = 28621.992, delta_errs = 6.289968, loss = 29242.213, delta_loss = -4.9111056, learn_rate = 0.025015943
[DEBUG] 2015-04-07 22:28:03,115 -- SVD++ fold [4] iter 36: errs = 28496.81, delta_errs = 18.146711, loss = 29225.88, delta_loss = 0.9237278, learn_rate = 0.025015943
[DEBUG] 2015-04-07 22:28:11,861 -- SVD++ fold [2] iter 37: errs = 28487.988, delta_errs = 9.594814, loss = 29184.754, delta_loss = -5.5827017, learn_rate = 0.026266739
[DEBUG] 2015-04-07 22:28:15,154 -- SVD++ fold [5] iter 38: errs = 28259.23, delta_errs = 137.56108, loss = 28969.63, delta_loss = 131.29715, learn_rate = 0.013133369
[DEBUG] 2015-04-07 22:28:19,594 -- SVD++ fold [1] iter 37: errs = 28352.873, delta_errs = 174.8029, loss = 29043.688, delta_loss = 186.25345, learn_rate = 0.012507971
[DEBUG] 2015-04-07 22:28:20,153 -- SVD++ fold [4] iter 37: errs = 28484.23, delta_errs = 12.57982, loss = 29231.043, delta_loss = -5.1631517, learn_rate = 0.026266739
[DEBUG] 2015-04-07 22:28:20,344 -- SVD++ fold [3] iter 37: errs = 28422.824, delta_errs = 199.16812, loss = 29034.0, delta_loss = 208.21317, learn_rate = 0.012507971
[DEBUG] 2015-04-07 22:28:33,426 -- SVD++ fold [2] iter 38: errs = 28292.488, delta_errs = 195.49889, loss = 28978.848, delta_loss = 205.9059, learn_rate = 0.013133369
[DEBUG] 2015-04-07 22:28:35,271 -- SVD++ fold [5] iter 39: errs = 28237.502, delta_errs = 21.7278, loss = 28955.46, delta_loss = 14.17005, learn_rate = 0.013790038
[DEBUG] 2015-04-07 22:28:40,252 -- SVD++ fold [3] iter 38: errs = 28295.482, delta_errs = 127.34185, loss = 28910.578, delta_loss = 123.42079, learn_rate = 0.013133369
[DEBUG] 2015-04-07 22:28:40,564 -- SVD++ fold [4] iter 38: errs = 28286.225, delta_errs = 198.00616, loss = 29025.057, delta_loss = 205.98705, learn_rate = 0.013133369
[DEBUG] 2015-04-07 22:28:40,616 -- SVD++ fold [1] iter 38: errs = 28210.36, delta_errs = 142.51251, loss = 28906.54, delta_loss = 137.14938, learn_rate = 0.013133369
[DEBUG] 2015-04-07 22:28:51,154 -- SVD++ fold [2] iter 39: errs = 28154.088, delta_errs = 138.4011, loss = 28846.924, delta_loss = 131.92493, learn_rate = 0.013790038
[DEBUG] 2015-04-07 22:28:53,238 -- SVD++ fold [5] iter 40: errs = 28226.064, delta_errs = 11.438624, loss = 28952.256, delta_loss = 3.2052634, learn_rate = 0.01447954
[DEBUG] 2015-04-07 22:28:54,820 -- SVD++ fold [3] iter 39: errs = 28277.596, delta_errs = 17.8872, loss = 28898.344, delta_loss = 12.234197, learn_rate = 0.013790038
[DEBUG] 2015-04-07 22:28:58,835 -- SVD++ fold [4] iter 39: errs = 28145.775, delta_errs = 140.44789, loss = 28893.047, delta_loss = 132.00975, learn_rate = 0.013790038
[DEBUG] 2015-04-07 22:29:01,183 -- SVD++ fold [1] iter 39: errs = 28188.578, delta_errs = 21.78242, loss = 28891.75, delta_loss = 14.788801, learn_rate = 0.013790038
[DEBUG] 2015-04-07 22:29:09,833 -- SVD++ fold [2] iter 40: errs = 28132.578, delta_errs = 21.509935, loss = 28833.066, delta_loss = 13.856063, learn_rate = 0.01447954
[DEBUG] 2015-04-07 22:29:11,720 -- SVD++ fold [5] iter 41: errs = 28218.428, delta_errs = 7.635459, loss = 28953.215, delta_loss = -0.9584637, learn_rate = 0.015203517
[DEBUG] 2015-04-07 22:29:13,101 -- SVD++ fold [3] iter 40: errs = 28268.898, delta_errs = 8.696558, loss = 28895.98, delta_loss = 2.3642519, learn_rate = 0.01447954
[DEBUG] 2015-04-07 22:29:17,445 -- SVD++ fold [4] iter 40: errs = 28122.627, delta_errs = 23.148636, loss = 28879.318, delta_loss = 13.72903, learn_rate = 0.01447954
[DEBUG] 2015-04-07 22:29:22,477 -- SVD++ fold [1] iter 40: errs = 28177.107, delta_errs = 11.470676, loss = 28888.084, delta_loss = 3.6651394, learn_rate = 0.01447954
[DEBUG] 2015-04-07 22:29:27,295 -- SVD++ fold [2] iter 41: errs = 28121.55, delta_errs = 11.0277, loss = 28830.451, delta_loss = 2.6151264, learn_rate = 0.015203517
[DEBUG] 2015-04-07 22:29:28,633 -- SVD++ fold [3] iter 41: errs = 28263.574, delta_errs = 5.324887, loss = 28897.406, delta_loss = -1.4268945, learn_rate = 0.015203517
[DEBUG] 2015-04-07 22:29:30,662 -- SVD++ fold [5] iter 42: errs = 28169.295, delta_errs = 49.133648, loss = 28895.28, delta_loss = 57.935795, learn_rate = 0.0076017585
[DEBUG] 2015-04-07 22:29:37,619 -- SVD++ fold [4] iter 41: errs = 28109.955, delta_errs = 12.673501, loss = 28876.553, delta_loss = 2.7645261, learn_rate = 0.015203517
[DEBUG] 2015-04-07 22:29:41,629 -- SVD++ fold [1] iter 41: errs = 28169.37, delta_errs = 7.737361, loss = 28888.59, delta_loss = -0.50493765, learn_rate = 0.015203517
[DEBUG] 2015-04-07 22:29:45,978 -- SVD++ fold [3] iter 42: errs = 28211.115, delta_errs = 52.458805, loss = 28839.404, delta_loss = 58.0037, learn_rate = 0.0076017585
[DEBUG] 2015-04-07 22:29:46,348 -- SVD++ fold [2] iter 42: errs = 28114.324, delta_errs = 7.2259173, loss = 28832.055, delta_loss = -1.6028317, learn_rate = 0.015963692
[DEBUG] 2015-04-07 22:29:48,429 -- SVD++ fold [5] iter 43: errs = 28046.764, delta_errs = 122.53124, loss = 28776.834, delta_loss = 118.44466, learn_rate = 0.007981846
[DEBUG] 2015-04-07 22:29:53,005 -- SVD++ fold [4] iter 42: errs = 28101.156, delta_errs = 8.7978115, loss = 28877.932, delta_loss = -1.378553, learn_rate = 0.015963692
[DEBUG] 2015-04-07 22:29:58,963 -- SVD++ fold [1] iter 42: errs = 28126.951, delta_errs = 42.41786, loss = 28838.094, delta_loss = 50.496796, learn_rate = 0.0076017585
[DEBUG] 2015-04-07 22:30:03,114 -- SVD++ fold [3] iter 43: errs = 28088.434, delta_errs = 122.68169, loss = 28718.799, delta_loss = 120.60374, learn_rate = 0.007981846
[DEBUG] 2015-04-07 22:30:05,468 -- SVD++ fold [2] iter 43: errs = 28060.365, delta_errs = 53.95873, loss = 28769.463, delta_loss = 62.591125, learn_rate = 0.007981846
[DEBUG] 2015-04-07 22:30:06,327 -- SVD++ fold [5] iter 44: errs = 28029.387, delta_errs = 17.376041, loss = 28764.268, delta_loss = 12.567291, learn_rate = 0.008380938
[DEBUG] 2015-04-07 22:30:09,736 -- SVD++ fold [4] iter 43: errs = 28050.246, delta_errs = 50.910843, loss = 28819.518, delta_loss = 58.4131, learn_rate = 0.007981846
[DEBUG] 2015-04-07 22:30:19,569 -- SVD++ fold [1] iter 43: errs = 28000.035, delta_errs = 126.91667, loss = 28714.941, delta_loss = 123.15078, learn_rate = 0.007981846
[DEBUG] 2015-04-07 22:30:22,673 -- SVD++ fold [2] iter 44: errs = 27936.135, delta_errs = 124.23143, loss = 28650.58, delta_loss = 118.88403, learn_rate = 0.008380938
[DEBUG] 2015-04-07 22:30:22,949 -- SVD++ fold [5] iter 45: errs = 28020.295, delta_errs = 9.091447, loss = 28760.28, delta_loss = 3.9886289, learn_rate = 0.008799986
[DEBUG] 2015-04-07 22:30:22,957 -- SVD++ fold [3] iter 44: errs = 28072.824, delta_errs = 15.60912, loss = 28707.104, delta_loss = 11.695754, learn_rate = 0.008380938
[DEBUG] 2015-04-07 22:30:30,001 -- SVD++ fold [4] iter 44: errs = 27923.26, delta_errs = 126.98636, loss = 28697.783, delta_loss = 121.73437, learn_rate = 0.008380938
[DEBUG] 2015-04-07 22:30:37,720 -- SVD++ fold [1] iter 44: errs = 27982.07, delta_errs = 17.965225, loss = 28701.664, delta_loss = 13.277913, learn_rate = 0.008380938
[DEBUG] 2015-04-07 22:30:38,042 -- SVD++ fold [2] iter 45: errs = 27918.328, delta_errs = 17.806604, loss = 28637.787, delta_loss = 12.79172, learn_rate = 0.008799986
[DEBUG] 2015-04-07 22:30:40,372 -- SVD++ fold [5] iter 46: errs = 28013.77, delta_errs = 6.5267544, loss = 28759.115, delta_loss = 1.1643368, learn_rate = 0.009239985
[DEBUG] 2015-04-07 22:30:41,927 -- SVD++ fold [3] iter 45: errs = 28065.02, delta_errs = 7.8056912, loss = 28703.49, delta_loss = 3.6144664, learn_rate = 0.008799986
[DEBUG] 2015-04-07 22:30:48,438 -- SVD++ fold [4] iter 45: errs = 27904.697, delta_errs = 18.561708, loss = 28685.023, delta_loss = 12.761537, learn_rate = 0.008799986
[DEBUG] 2015-04-07 22:30:57,787 -- SVD++ fold [1] iter 45: errs = 27972.568, delta_errs = 9.501384, loss = 28697.232, delta_loss = 4.431165, learn_rate = 0.008799986
[DEBUG] 2015-04-07 22:30:57,797 -- SVD++ fold [2] iter 46: errs = 27908.97, delta_errs = 9.357755, loss = 28633.756, delta_loss = 4.031523, learn_rate = 0.009239985
[DEBUG] 2015-04-07 22:31:00,589 -- SVD++ fold [5] iter 47: errs = 28008.617, delta_errs = 5.1522045, loss = 28759.508, delta_loss = -0.39333472, learn_rate = 0.009701984
[DEBUG] 2015-04-07 22:31:00,684 -- SVD++ fold [3] iter 46: errs = 28059.543, delta_errs = 5.476067, loss = 28702.453, delta_loss = 1.0356377, learn_rate = 0.009239985
[DEBUG] 2015-04-07 22:31:09,129 -- SVD++ fold [4] iter 46: errs = 27894.57, delta_errs = 10.126286, loss = 28680.914, delta_loss = 4.1089044, learn_rate = 0.009239985
[DEBUG] 2015-04-07 22:31:15,678 -- SVD++ fold [1] iter 46: errs = 27965.633, delta_errs = 6.9359355, loss = 28695.656, delta_loss = 1.5775121, learn_rate = 0.009239985
[DEBUG] 2015-04-07 22:31:16,770 -- SVD++ fold [2] iter 47: errs = 27902.26, delta_errs = 6.709794, loss = 28632.654, delta_loss = 1.102965, learn_rate = 0.009701984
[DEBUG] 2015-04-07 22:31:18,605 -- SVD++ fold [3] iter 47: errs = 28055.32, delta_errs = 4.2215123, loss = 28702.865, delta_loss = -0.41114846, learn_rate = 0.009701984
[DEBUG] 2015-04-07 22:31:19,116 -- SVD++ fold [5] iter 48: errs = 28006.49, delta_errs = 2.1272182, loss = 28751.09, delta_loss = 8.418104, learn_rate = 0.004850992
[DEBUG] 2015-04-07 22:31:26,342 -- SVD++ fold [4] iter 47: errs = 27887.121, delta_errs = 7.4507904, loss = 28679.688, delta_loss = 1.2255684, learn_rate = 0.009701984
[DEBUG] 2015-04-07 22:31:33,348 -- SVD++ fold [1] iter 47: errs = 27960.062, delta_errs = 5.5697265, loss = 28695.64, delta_loss = 0.014787752, learn_rate = 0.009701984
[DEBUG] 2015-04-07 22:31:34,943 -- SVD++ fold [2] iter 48: errs = 27896.979, delta_errs = 5.2819114, loss = 28633.174, delta_loss = -0.5200048, learn_rate = 0.010187084
[DEBUG] 2015-04-07 22:31:35,528 -- SVD++ fold [3] iter 48: errs = 28055.012, delta_errs = 0.30847713, loss = 28699.988, delta_loss = 2.8764718, learn_rate = 0.004850992
[DEBUG] 2015-04-07 22:31:36,143 -- SVD++ fold [5] iter 49: errs = 27909.809, delta_errs = 96.68162, loss = 28655.754, delta_loss = 95.3357, learn_rate = 0.005093542
[DEBUG] 2015-04-07 22:31:45,086 -- SVD++ fold [4] iter 48: errs = 27881.13, delta_errs = 5.9903812, loss = 28680.07, delta_loss = -0.3826934, learn_rate = 0.010187084
[DEBUG] 2015-04-07 22:31:52,291 -- SVD++ fold [3] iter 49: errs = 27952.951, delta_errs = 102.0623, loss = 28597.55, delta_loss = 102.43779, learn_rate = 0.005093542
[DEBUG] 2015-04-07 22:31:54,706 -- SVD++ fold [2] iter 49: errs = 27892.729, delta_errs = 4.2493567, loss = 28622.844, delta_loss = 10.3294, learn_rate = 0.005093542
[DEBUG] 2015-04-07 22:31:54,841 -- SVD++ fold [1] iter 48: errs = 27955.482, delta_errs = 4.580439, loss = 28696.773, delta_loss = -1.1328989, learn_rate = 0.010187084
[DEBUG] 2015-04-07 22:31:56,785 -- SVD++ fold [5] iter 50: errs = 27895.367, delta_errs = 14.4410515, loss = 28644.598, delta_loss = 11.156185, learn_rate = 0.0053482186
[DEBUG] 2015-04-07 22:32:03,687 -- SVD++ fold [4] iter 49: errs = 27883.453, delta_errs = -2.3228753, loss = 28676.531, delta_loss = 3.5396714, learn_rate = 0.005093542
[DEBUG] 2015-04-07 22:32:07,973 -- SVD++ fold [3] iter 50: errs = 27938.895, delta_errs = 14.056707, loss = 28586.254, delta_loss = 11.297475, learn_rate = 0.0053482186
[DEBUG] 2015-04-07 22:32:15,150 -- SVD++ fold [2] iter 50: errs = 27793.238, delta_errs = 99.49052, loss = 28526.318, delta_loss = 96.52477, learn_rate = 0.0053482186
[DEBUG] 2015-04-07 22:32:15,341 -- SVD++ fold [1] iter 49: errs = 27950.71, delta_errs = 4.772226, loss = 28686.623, delta_loss = 10.149771, learn_rate = 0.005093542
[DEBUG] 2015-04-07 22:32:17,591 -- SVD++ fold [5] iter 51: errs = 27888.725, delta_errs = 6.6420875, loss = 28641.34, delta_loss = 3.2578034, learn_rate = 0.0056156297
[DEBUG] 2015-04-07 22:32:22,308 -- SVD++ fold [4] iter 50: errs = 27781.184, delta_errs = 102.268936, loss = 28576.082, delta_loss = 100.448746, learn_rate = 0.0053482186
[DEBUG] 2015-04-07 22:32:25,336 -- SVD++ fold [3] iter 51: errs = 27932.871, delta_errs = 6.0217505, loss = 28583.18, delta_loss = 3.0729084, learn_rate = 0.0056156297
[DEBUG] 2015-04-07 22:32:33,383 -- SVD++ fold [2] iter 51: errs = 27778.229, delta_errs = 15.009101, loss = 28514.967, delta_loss = 11.351547, learn_rate = 0.0056156297
[DEBUG] 2015-04-07 22:32:34,746 -- SVD++ fold [1] iter 50: errs = 27850.996, delta_errs = 99.71486, loss = 28588.672, delta_loss = 97.95251, learn_rate = 0.0053482186
[DEBUG] 2015-04-07 22:32:37,042 -- SVD++ fold [5] iter 52: errs = 27884.045, delta_errs = 4.680359, loss = 28640.191, delta_loss = 1.1480782, learn_rate = 0.0058964114
[DEBUG] 2015-04-07 22:32:40,324 -- SVD++ fold [4] iter 51: errs = 27765.83, delta_errs = 15.353311, loss = 28564.582, delta_loss = 11.501105, learn_rate = 0.0056156297
[DEBUG] 2015-04-07 22:32:42,140 -- SVD++ fold [3] iter 52: errs = 27928.729, delta_errs = 4.1428223, loss = 28582.115, delta_loss = 1.0652232, learn_rate = 0.0058964114
[DEBUG] 2015-04-07 22:32:50,259 -- SVD++ fold [2] iter 52: errs = 27771.23, delta_errs = 6.998414, loss = 28511.578, delta_loss = 3.3898907, learn_rate = 0.0058964114
[DEBUG] 2015-04-07 22:32:54,756 -- SVD++ fold [1] iter 51: errs = 27836.09, delta_errs = 14.904534, loss = 28577.182, delta_loss = 11.489029, learn_rate = 0.0056156297
[DEBUG] 2015-04-07 22:32:55,690 -- SVD++ fold [5] iter 53: errs = 27880.215, delta_errs = 3.829141, loss = 28640.033, delta_loss = 0.15767917, learn_rate = 0.006191232
[DEBUG] 2015-04-07 22:32:59,138 -- SVD++ fold [4] iter 52: errs = 27758.46, delta_errs = 7.370249, loss = 28561.072, delta_loss = 3.5086303, learn_rate = 0.0058964114
[DEBUG] 2015-04-07 22:33:01,188 -- SVD++ fold [3] iter 53: errs = 27925.371, delta_errs = 3.3587842, loss = 28581.959, delta_loss = 0.15589781, learn_rate = 0.006191232
[DEBUG] 2015-04-07 22:33:07,762 -- SVD++ fold [2] iter 53: errs = 27766.254, delta_errs = 4.9764457, loss = 28510.344, delta_loss = 1.2344996, learn_rate = 0.006191232
[DEBUG] 2015-04-07 22:33:11,134 -- SVD++ fold [1] iter 52: errs = 27829.215, delta_errs = 6.875584, loss = 28573.86, delta_loss = 3.3225787, learn_rate = 0.0058964114
[DEBUG] 2015-04-07 22:33:13,268 -- SVD++ fold [5] iter 54: errs = 27876.916, delta_errs = 3.2983735, loss = 28640.523, delta_loss = -0.4899626, learn_rate = 0.006500793
[DEBUG] 2015-04-07 22:33:17,242 -- SVD++ fold [4] iter 53: errs = 27753.11, delta_errs = 5.35013, loss = 28559.701, delta_loss = 1.3719604, learn_rate = 0.006191232
[DEBUG] 2015-04-07 22:33:18,067 -- SVD++ fold [3] iter 54: errs = 27922.496, delta_errs = 2.8733702, loss = 28582.4, delta_loss = -0.44096735, learn_rate = 0.006500793
[DEBUG] 2015-04-07 22:33:28,606 -- SVD++ fold [2] iter 54: errs = 27762.168, delta_errs = 4.0854487, loss = 28510.14, delta_loss = 0.2029704, learn_rate = 0.006500793
[DEBUG] 2015-04-07 22:33:30,951 -- SVD++ fold [1] iter 53: errs = 27824.365, delta_errs = 4.849477, loss = 28572.73, delta_loss = 1.1303765, learn_rate = 0.006191232
